sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
1,1,0,0,0,0,0,8,A1
0,0,0,0,0,1,0,5,ABC
1,0,0,0,0,3,0,29,Ace
0,0,0,0,0,0,0,1,ACID
1,1,0,0,0,0,0,8,Adam
0,0,0,1,0,0,0,23,AT&T
0,0,0,0,2,0,0,17,A. J.
0,0,0,0,3,0,0,2,Affair
0,0,0,0,4,0,0,2,Apello
0,2,0,0,1,0,0,13,Avalon
0,0,0,0,2,0,0,17,Abilene
0,0,0,0,0,0,0,1,Addison
0,0,0,0,0,1,0,5,Almeria
1,1,0,0,0,1,1,8,Acapulco
1,0,0,1,0,0,0,19,Affinity
0,1,0,0,1,0,0,11,Applecar
0,1,0,0,0,0,0,6,Aviation
0,0,0,0,2,0,0,17,Adam Bomb
1,0,0,0,0,0,0,15,Addington
0,0,0,0,1,0,0,9,After sex
1,0,0,0,2,0,0,30,Afterglow
0,0,0,1,0,2,0,21,Afternoon
0,0,0,0,0,1,0,5,Alexander
0,0,0,0,1,0,0,9,Algonquin
0,2,0,0,0,0,0,6,Allegheny
1,1,0,0,1,0,0,0,Americano
0,1,0,0,1,0,0,11,Applejack
1,0,0,1,0,0,0,19,Artillery
0,1,0,0,0,0,0,6,Autodafé
0,0,0,0,0,1,0,5,Avalanche
0,0,0,0,2,0,0,17,Adam & Eve
0,0,0,0,0,1,1,5,After Five
0,0,0,0,0,1,0,5,Almond Joy
0,0,0,0,2,0,0,17,Angel Face
0,0,0,0,1,0,0,9,Aquamarine
0,1,0,0,0,0,0,6,Archbishop
1,0,0,0,0,0,0,15,Absinthe #2
1,0,0,0,2,0,0,30,Absolut Sex
0,0,0,0,2,0,0,17,Arctic Fish
0,1,1,0,0,0,0,28,Aztec Punch
1,1,0,0,0,0,0,8,Adam Sunrise
0,0,0,0,0,1,0,5,Amaretto Tea
0,0,0,0,1,0,0,9,Apple Grande
0,0,0,0,1,0,0,9,Apple Karate
0,1,0,0,2,1,0,4,Apricot Lady
0,1,0,0,0,0,0,6,Army special
1,1,0,0,0,0,0,8,Atlantic Sun
1,0,0,1,1,0,0,19,Abbey Martini
0,0,0,0,2,0,0,17,Amaretto fizz
0,1,0,0,0,0,0,6,Amaretto Mist
0,1,0,0,0,0,0,6,Amaretto Rose
0,1,0,0,0,0,0,6,Amaretto Sour
0,0,0,0,0,0,0,1,Aperol Spritz
1,0,0,0,1,0,0,10,Apple Slammer
1,0,0,0,2,0,0,30,Apricot punch
0,0,0,0,0,0,1,14,Arise My Love
1,1,0,0,0,0,0,8,Atomic Lokade
0,1,0,0,0,0,0,6,A Piece of Ass
0,0,0,1,2,0,0,17,Abbey Cocktail
0,1,0,0,1,0,0,11,Alfie Cocktail
1,0,0,0,2,1,0,30,Alice Cocktail
1,0,0,0,0,0,0,15,Amaretto Shake
